traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
主婦,主妇,ㄓㄨˇ ㄈㄨˋ,zhǔ fù,housewife / woman of senior authority in a household / the lady of the house / hostess,,N,Level 3
主管,主管,ㄓㄨˇ ㄍㄨㄢˇ,zhǔ guǎn,in charge / responsible for / person in charge / manager,,N,Level 3
主人,主人,ㄓㄨˇ ㄖㄣˊ,zhǔ rén,master / host / owner,個|个,N,Level 3
主任,主任,ㄓㄨˇ ㄖㄣˋ,zhǔ rèn,director / head,個|个,N,Level 3
主題,主题,ㄓㄨˇ ㄊㄧˊ,zhǔ tí,theme / subject,,N,Level 3
主要,主要,ㄓㄨˇ ㄧㄠˋ,zhǔ yào,main / principal / major / primary,,Adv,Level 3
主要,主要,ㄓㄨˇ ㄧㄠˋ,zhǔ yào,main / principal / major / primary,,Vs-attr,Level 3
主意,主意,ㄓㄨˇ ㄧˋ,zhǔ yì,plan / idea / decision / Beijing pr. [zhu2 yi5],個|个,N,Level 3
祝,祝,ㄓㄨˋ,zhù,to wish / to express good wishes / to pray / (old) wizard,,V,Level 3
祝福,祝福,ㄓㄨˋ ㄈㄨˊ,zhù fú,blessings / to wish sb well,,N,Level 3
祝福,祝福,ㄓㄨˋ ㄈㄨˊ,zhù fú,blessings / to wish sb well,,V,Level 3
助,助,ㄓㄨˋ,zhù,to help / to assist,,V,Level 3
助理,助理,ㄓㄨˋ ㄌㄧˇ,zhù lǐ,assistant,,N,Level 3
著名,着名,ㄓㄨˋ ㄇㄧㄥˊ,zhù míng,famous / noted / well-known / celebrated,,Vs,Level 3
抓,抓,ㄓㄨㄚ,zhuā,to grab / to catch / to arrest / to snatch / to scratch,,V,Level 3
專心,专心,ㄓㄨㄢ ㄒㄧㄣ,zhuān xīn,to concentrate / absorption / concentration / engrossed,,Vs,Level 3
專業,专业,ㄓㄨㄢ ㄧㄝˋ,zhuān yè,specialty / specialized field / main field of study (at university) / major / professional,門|门 / 個|个,Vs-attr,Level 3
狀態,状态,ㄓㄨㄤˋ ㄊㄞˋ,zhuàng tài,state of affairs / state / mode / situation,個|个,N,Level 3
追求,追求,ㄓㄨㄟ ㄑㄧㄡˊ,zhuī qiú,to pursue (a goal etc) stubbornly / to seek after / to woo,,V,Level 3
準時,准时,ㄓㄨㄣˇ ㄕˊ,zhǔn shí,on time / punctual / on schedule,,Vs,Level 3
著,着,ㄓㄨㄛˊ,zhuó,to make known / to show / to prove / to write / book / outstanding,,V,Level 3
資料,资料,ㄗ ㄌㄧㄠˋ,zī liào,material / resources / data / information / profile (Internet),份|份 / 個|个,N,Level 3
資源,资源,ㄗ ㄩㄢˊ,zī yuán,natural resource (such as water or minerals) / resource (such as manpower or tourism),,N,Level 3
仔細,仔细,ㄗˇ ㄒㄧˋ,zǐ xì,careful / attentive / cautious,,Vs,Level 3
自從,自从,ㄗˋ ㄘㄨㄥˊ,zì cóng,since (a time) / ever since,,Prep,Level 3
自動,自动,ㄗˋ ㄉㄨㄥˋ,zì dòng,automatic / voluntarily,,Vs,Level 3
自然,自然,ㄗˋ ㄖㄢˊ,zì rán,nature / natural / naturally,,Vs,Level 3
自殺,自杀,ㄗˋ ㄕㄚ,zì shā,to kill oneself / to commit suicide / to attempt suicide,,Vi,Level 3
自信,自信,ㄗˋ ㄒㄧㄣˋ,zì xìn,to have confidence in oneself / self-confidence,,N,Level 3
自由,自由,ㄗˋ ㄧㄡˊ,zì yóu,freedom / free / liberty,個|个,N,Level 3
自由,自由,ㄗˋ ㄧㄡˊ,zì yóu,freedom / free / liberty,個|个,Vs,Level 3
自在,自在,ㄗˋ ㄗㄞˋ,zì zài,free / unrestrained / comfortable / at ease,,Vs,Level 3
宗教,宗教,ㄗㄨㄥ ㄐㄧㄠˋ,zōng jiào,religion,,N,Level 3
總而言之,总而言之,ㄗㄨㄥˇ ㄦˊ ㄧㄢˊ ㄓ,zǒng r2 yán zhī,in short / in a word / in brief,,Conj,Level 3
總算,总算,ㄗㄨㄥˇ ㄙㄨㄢˋ,zǒng suàn,at long last / finally / on the whole,,Adv,Level 3
總統,总统,ㄗㄨㄥˇ ㄊㄨㄥˇ,zǒng tǒng,president (of a country),個|个 / 位|位 / 名|名 / 屆|届,N,Level 3
總之,总之,ㄗㄨㄥˇ ㄓ,zǒng zhī,in a word / in short / in brief,,Conj,Level 3
走走,走走,ㄗㄡˇ ㄗㄡ˙,zǒu zou,to walk around,,Vi,Level 3
組,组,ㄗㄨˇ,zǔ,"to form / to organize / group / team / classifier for sets, series, groups of people, batteries",,M,Level 3
祖父,祖父,ㄗㄨˇ ㄈㄨˋ,zǔ fù,father's father / paternal grandfather,,N,Level 3
祖母,祖母,ㄗㄨˇ ㄇㄨˇ,zǔ mǔ,father's mother / paternal grandmother,,N,Level 3
祖先,祖先,ㄗㄨˇ ㄒㄧㄢ,zǔ xiān,ancestor / forebears,,N,Level 3
嘴,嘴,ㄗㄨㄟˇ,zuǐ,mouth / beak / nozzle / spout (of teapot etc),張|张 / 個|个,N,Level 3
醉,醉,ㄗㄨㄟˋ,zuì,intoxicated,,Vp,Level 3
最初,最初,ㄗㄨㄟˋ ㄔㄨ,zuì chū,first / primary / initial / original / at first / initially / originally,,N,Level 3
最多,最多,ㄗㄨㄟˋ ㄉㄨㄛ,zuì duō,at most / maximum / greatest (amount) / maximal,,Adv,Level 3
最好,最好,ㄗㄨㄟˋ ㄏㄠˇ,zuì hǎo,best / (you) had better (do what we suggest),,Adv,Level 3
最後,最后,ㄗㄨㄟˋ ㄏㄡˋ,zuì hòu,final / last / finally / ultimate,,N,Level 3
最佳,最佳,ㄗㄨㄟˋ ㄐㄧㄚ,zuì jiā,"optimum / optimal / peak / best (athlete, movie etc)",,Vs-attr,Level 3
尊敬,尊敬,ㄗㄨㄣ ㄐㄧㄥˋ,zūn jìng,to respect / to revere,,Vst,Level 3
作,作,ㄗㄨㄛˋ,zuò,to do / to grow / to write or compose / to pretend / to regard as / to feel / writings or works,,V,Level 3
作品,作品,ㄗㄨㄛˋ ㄆㄧㄣˇ,zuò pǐn,work (of art) / opus,部|部 / 篇|篇,N,Level 3
作者,作者,ㄗㄨㄛˋ ㄓㄜˇ,zuò zhě,author / writer,個|个,N,Level 3
座,座,ㄗㄨㄛˋ,zuò,"seat / base / stand / classifier for buildings, mountains and similar immovable objects",個|个,M,Level 3
做法,做法,ㄗㄨㄛˋ ㄈㄚˇ,zuò fǎ,way of handling sth / method for making / work method / recipe / practice,個|个,N,Level 3
作法,作法,ㄗㄨㄛˋ ㄈㄚˇ,zuò fǎ,course of action / method of doing sth / practice / modus operandi,,N,Level 3
做夢,做梦,ㄗㄨㄛˋ ㄇㄥˋ,zuò mèng,to dream / to have a dream / fig. illusion / fantasy / pipe dream,,V-sep,Level 3
做人,做人,ㄗㄨㄛˋ ㄖㄣˊ,zuò rén,to conduct oneself / to behave with integrity,,Vi,Level 3
做事,做事,ㄗㄨㄛˋ ㄕˋ,zuò shì,to work / to handle matters / to have a job,,Vi,Level 3
哎呀,哎呀,ㄞ ㄧㄚ,āi yā,"interjection of wonder, shock or admiration",,Ptc,Level 4
哎喲,哎哟,ㄞ ㄧㄠ,āi yāo,hey / ow / ouch / interjection of pain or surprise,,Ptc,Level 4
愛好,爱好,ㄞˋ ㄏㄠˋ,ài hào,to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for,個|个,N,Level 4
愛好,爱好,ㄞˋ ㄏㄠˋ,ài hào,to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for,個|个,Vst,Level 4
愛護,爱护,ㄞˋ ㄏㄨˋ,ài hù,to cherish / to treasure / to take care of / to love and protect,,Vst,Level 4
愛人,爱人,ㄞˋ ㄖㄣˊ,ài rén,spouse (PRC) / lover (non-PRC),個|个,N,Level 4
安慰,安慰,ㄢ ㄨㄟˋ,ān wèi,to comfort / to console,個|个,V,Level 4
安裝,安装,ㄢ ㄓㄨㄤ,ān zhuāng,to install / to erect / to fix / to mount / installation,,V,Level 4
按,按,ㄢˋ,àn,to press / to push / to leave aside or shelve / to control / to restrain / to keep one's hand on / to check or refer to / according to / in the light of / (of an editor or author) to make a comment,,V,Level 4
按時,按时,ㄢˋ ㄕˊ,àn shí,on time / before deadline / on schedule,,Adv,Level 4
暗,暗,ㄢˋ,àn,dark / gloomy / hidden / secret / muddled / obscure / in the dark,,Vs,Level 4
暗中,暗中,ㄢˋ ㄓㄨㄥ,àn zhōng,in the dark / in secret / on the sly / surreptitiously,,Adv,Level 4
骯髒,肮脏,ㄤ ㄗㄤ,āng zāng,dirty / filthy,,Vs,Level 4
熬,熬,ㄠˊ,áo,to cook on a slow fire / to extract by heating / to decoct / to endure,,V,Level 4
拔,拔,ㄅㄚˊ,bá,to pull up / to pull out / to draw out by suction / to select / to pick / to stand out (above level) / to surpass / to seize,,V,Level 4
把,把,ㄅㄚˇ,bǎ,handle,,M,Level 4
把握,把握,ㄅㄚˇ ㄨㄛˋ,bǎ wò,to grasp (also fig.) / to seize / to hold / assurance / certainty / sure (of the outcome),,N,Level 4
罷工,罢工,ㄅㄚˋ ㄍㄨㄥ,bà gōng,a strike / to go on strike,,Vi,Level 4
罷了,罢了,ㄅㄚˋ ㄌㄜ˙,bà le,"a modal particle indicating (don't mind it, ok)",,Ptc,Level 4
罷了,罢了,ㄅㄚˋ ㄌㄧㄠˇ,bà liǎo,"a modal particle indicating (don't mind it, ok)",,Ptc,Level 4
擺脫,摆脱,ㄅㄞˇ ㄊㄨㄛ,bǎi tuō,to break away from / to cast off (old ideas etc) / to get rid of / to break away (from) / to break out (of) / to free oneself from / to extricate oneself,,V,Level 4
敗,败,ㄅㄞˋ,bài,to defeat / to damage / to lose (to an opponent) / to fail / to wither,,Vp,Level 4
拜,拜,ㄅㄞˋ,bài,to pay respect / worship / visit / salute,,V,Level 4
拜拜,拜拜,ㄅㄞˋ ㄅㄞ˙,bài bai,"to pay one's respects by bowing with hands in front of one's chest clasping joss sticks, or with palms pressed together / (Tw) religious ceremony in which offerings are made to a deity",,Vi,Level 4
拜訪,拜访,ㄅㄞˋ ㄈㄤˇ,bài fǎng,to pay a visit / to call on,,V,Level 4
拜年,拜年,ㄅㄞˋ ㄋㄧㄢˊ,bài nián,to pay a New Year call / to wish sb a Happy New Year,,V-sep,Level 4
拜託,拜託,ㄅㄞˋ ㄊㄨㄛ,bài tuō,to request sb to do sth / please!,,V,Level 4
般,般,ㄅㄢ,bān,see 般樂|般乐[pan2 le4],,Phrase,Level 4
班,班,ㄅㄢ,bān,team / class / squad / work shift / ranking / classifier for groups,個|个,M,Level 4
班長,班长,ㄅㄢ ㄓㄤˇ,bān zhǎng,class monitor / squad leader / team leader,個|个,N,Level 4
搬運,搬运,ㄅㄢ ㄩㄣˋ,bān yùn,freight / transport / portage / to transport / to carry,,V,Level 4
拌,拌,ㄅㄢˋ,bàn,to mix / to mix in / to toss (a salad),,V,Level 4
半路,半路,ㄅㄢˋ ㄌㄨˋ,bàn lù,halfway / midway / on the way,,N,Level 4
半數,半数,ㄅㄢˋ ㄕㄨˋ,bàn shù,half the number / half,,Det,Level 4
辦公,办公,ㄅㄢˋ ㄍㄨㄥ,bàn gōng,to handle official business / to work (esp. in an office),,Vi,Level 4
辦事,办事,ㄅㄢˋ ㄕˋ,bàn shì,to handle (affairs) / to work,,Vi,Level 4
扮演,扮演,ㄅㄢˋ ㄧㄢˇ,bàn yǎn,to play the role of / to act,,V,Level 4
傍晚,傍晚,ㄅㄤ ㄨㄢˇ,bāng wǎn,in the evening / when night falls / towards evening / at night fall / at dusk,,N,Level 4
磅,磅,ㄅㄤˋ,bàng,"see 磅秤 scale / platform balance / (loanword) pound (unit of weight, about 454 grams)",,M,Level 4
棒,棒,ㄅㄤˋ,bàng,stick / club / cudgel / smart / capable / strong / wonderful / classifier for legs of a relay race,,M,Level 4
棒子,棒子,ㄅㄤˋ ㄗ˙,bàng zi,stick / club / cudgel / maize (corn) / ear of maize / corncob / (derog.) Korean,,N,Level 4
包裹,包裹,ㄅㄠ ㄍㄨㄛˇ,bāo guǒ,to wrap up / to bind up / bundle / parcel / package,個|个,N,Level 4
包括,包括,ㄅㄠ ㄍㄨㄚ,bāo guā,to comprise / to include / to involve / to incorporate / to consist of,,Vst,Level 4
包裝,包装,ㄅㄠ ㄓㄨㄤ,bāo zhuāng,to pack / to package / to wrap / packaging,,N,Level 4
包裝,包装,ㄅㄠ ㄓㄨㄤ,bāo zhuāng,to pack / to package / to wrap / packaging,,V,Level 4
保,保,ㄅㄠˇ,bǎo,to defend / to protect / to keep / to guarantee / to ensure / civil administration unit in the baojia 保甲[bao3 jia3] system (old),,V,Level 4
保持,保持,ㄅㄠˇ ㄔˊ,bǎo chí,to keep / to maintain / to hold / to preserve,,V,Level 4
保存,保存,ㄅㄠˇ ㄘㄨㄣˊ,bǎo cún,to conserve / to preserve / to keep / to save (a file etc) (computing),,V,Level 4
保留,保留,ㄅㄠˇ ㄌㄧㄡˊ,bǎo liú,to keep / to retain / to have reservations (about sth) / to hold back (from saying sth) / to put aside for later,,V,Level 4
保衛,保卫,ㄅㄠˇ ㄨㄟˋ,bǎo wèi,to defend / to safeguard,,V,Level 4
保障,保障,ㄅㄠˇ ㄓㄤˋ,bǎo zhàng,to ensure / to guarantee / to safeguard,,N,Level 4
保障,保障,ㄅㄠˇ ㄓㄤˋ,bǎo zhàng,to ensure / to guarantee / to safeguard,,V,Level 4
寶寶,宝宝,ㄅㄠˇ ㄅㄠ˙,bǎo bao,darling / baby,,N,Level 4
抱,抱,ㄅㄠˋ,bào,to hold / to carry (in one's arms) / to hug / to embrace / to surround / to cherish,,Vst,Level 4
報,报,ㄅㄠˋ,bào,to announce / to inform / report / newspaper / recompense / revenge,份|份 / 張|张,V,Level 4
報仇,报仇,ㄅㄠˋ ㄔㄡˊ,bào chóu,to take revenge / to avenge,,V-sep,Level 4
報答,报答,ㄅㄠˋ ㄉㄚˊ,bào dá,to repay / to requite,,Vpt,Level 4
報導,报导,ㄅㄠˋ ㄉㄠˇ,bào dǎo,to report (in the media) / (news) report,,V,Level 4
報到,报到,ㄅㄠˋ ㄉㄠˋ,bào dào,to report for duty / to check in / to register,,Vi,Level 4
報警,报警,ㄅㄠˋ ㄐㄧㄥˇ,bào jǐng,to sound an alarm / to report sth to the police,,V-sep,Level 4
報社,报社,ㄅㄠˋ ㄕㄜˋ,bào shè,newspaper (i.e. a company),家|家,N,Level 4
暴力,暴力,ㄅㄠˋ ㄌㄧˋ,bào lì,violence / force / violent,,N,Level 4
暴躁,暴躁,ㄅㄠˋ ㄗㄠˋ,bào zào,irascible / irritable / violent,,Vs,Level 4
爆炸,爆炸,ㄅㄠˋ ㄓㄚˋ,bào zhà,explosion / to explode / to blow up / to detonate,,Vp,Level 4
悲劇,悲剧,ㄅㄟ ㄐㄩˋ,bēi jù,tragedy,齣|出,N,Level 4
悲痛,悲痛,ㄅㄟ ㄊㄨㄥˋ,bēi tòng,grieved / sorrowful,,Vs,Level 4
倍,倍,ㄅㄟˋ,bèi,"(two, three etc) -fold / times (multiplier) / double / to increase or multiply",,N,Level 4
備,备,ㄅㄟˋ,bèi,to prepare / get ready / to provide or equip,,V,Level 4
背面,背面,ㄅㄟˋ ㄇㄧㄢˋ,bèi miàn,the back / the reverse side / the wrong side,,N,Level 4
奔,奔,ㄅㄣ,bēn,to go to / to head for / towards,,Vi,Level 4
奔跑,奔跑,ㄅㄣ ㄆㄠˇ,bēn pǎo,to run,,Vi,Level 4
本來,本来,ㄅㄣˇ ㄌㄞˊ,běn lái,original / originally / at first / it goes without saying / of course,,Vs-attr,Level 4
本領,本领,ㄅㄣˇ ㄌㄧㄥˇ,běn lǐng,skill / ability / capability,項|项 / 個|个,N,Level 4
本身,本身,ㄅㄣˇ ㄕㄣ,běn shēn,itself / in itself / per se,,N,Level 4
本土,本土,ㄅㄣˇ ㄊㄨˇ,běn tǔ,one's native country / native / local / metropolitan territory,,N,Level 4
笨重,笨重,ㄅㄣˋ ㄓㄨㄥˋ,bèn zhòng,heavy / cumbersome / unwieldy,,Vs,Level 4
比,比,ㄅㄧˇ,bǐ,to associate with / to be near,,V,Level 4
比方,比方,ㄅㄧˇ ㄈㄤ,bǐ fāng,analogy / instance / for instance,,N,Level 4
比方,比方,ㄅㄧˇ ㄈㄤ,bǐ fāng,analogy / instance / for instance,,Vst,Level 4
比方說,比方说,ㄅㄧˇ ㄈㄤ ㄕㄨㄛ,bǐ fāng shuō,for example / for instance,,Vst,Level 4
比較,比较,ㄅㄧˇ ㄐㄧㄠˋ,bǐ jiào,to compare / to contrast / comparatively / relatively / quite / comparison,,N,Level 4
比較,比较,ㄅㄧˇ ㄐㄧㄠˋ,bǐ jiào,to compare / to contrast / comparatively / relatively / quite / comparison,,V,Level 4
比例,比例,ㄅㄧˇ ㄌㄧˋ,bǐ lì,proportion / scale,,N,Level 4
彼此,彼此,ㄅㄧˇ ㄘˇ,bǐ cǐ,each other / one another,,N,Level 4
筆記,笔记,ㄅㄧˇ ㄐㄧˋ,bǐ jì,to take down (in writing) / notes / a type of literature consisting mainly of short sketches,本|本,N,Level 4
筆試,笔试,ㄅㄧˇ ㄕˋ,bǐ shì,written examination / paper test (for an applicant),,N,Level 4
筆試,笔试,ㄅㄧˇ ㄕˋ,bǐ shì,written examination / paper test (for an applicant),,Vi,Level 4
閉,闭,ㄅㄧˋ,bì,to close / to stop up / to shut / to obstruct,,Vi,Level 4
必須,必须,ㄅㄧˋ ㄒㄩ,bì xū,to have to / must / compulsory / necessarily,,Vs-attr,Level 4
必要,必要,ㄅㄧˋ ㄧㄠˋ,bì yào,necessary / essential / indispensable / required,,N,Level 4
編,编,ㄅㄧㄢ,biān,to weave / to plait / to organize / to group / to arrange / to edit / to compile / to write / to compose / to fabricate,,V,Level 4
扁,扁,ㄅㄧㄢˇ,biǎn,small boat,,Vs,Level 4
便,便,ㄅㄧㄢˋ,biàn,see 便宜|便宜[pian2 yi5],,Adv,Level 4
便利,便利,ㄅㄧㄢˋ ㄌㄧˋ,biàn lì,convenient / easy / to facilitate,,Vs,Level 4
變動,变动,ㄅㄧㄢˋ ㄉㄨㄥˋ,biàn dòng,to change / to fluctuate / change / fluctuation,,N,Level 4
變動,变动,ㄅㄧㄢˋ ㄉㄨㄥˋ,biàn dòng,to change / to fluctuate / change / fluctuation,,Vp,Level 4
標題,标题,ㄅㄧㄠ ㄊㄧˊ,biāo tí,title / heading / headline / caption / subject,,N,Level 4
標誌,标志,ㄅㄧㄠ ㄓˋ,biāo zhì,sign / mark / symbol / logo / to symbolize / to indicate / to mark,,N,Level 4
表格,表格,ㄅㄧㄠˇ ㄍㄜˊ,biǎo gé,form / table,張|张 / 份|份,N,Level 4
表情,表情,ㄅㄧㄠˇ ㄑㄧㄥˊ,biǎo qíng,(facial) expression / to express one's feelings / expression,,N,Level 4
表揚,表扬,ㄅㄧㄠˇ ㄧㄤˊ,biǎo yáng,to praise / to commend,,V,Level 4
冰,冰,ㄅㄧㄥ,bīng,ice / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine,塊|块,Vs,Level 4
丙,丙,ㄅㄧㄥˇ,bǐng,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / third in order / letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 165° / propyl",,N,Level 4
並,并,ㄅㄧㄥˋ,bìng,and / furthermore / also / together with / (not) at all / simultaneously / to combine / to join / to merge,,Adv,Level 4
並,并,ㄅㄧㄥˋ,bìng,and / furthermore / also / together with / (not) at all / simultaneously / to combine / to join / to merge,,Conj,Level 4
並且,并且,ㄅㄧㄥˋ ㄑㄧㄝˇ,bìng qiě,and / besides / moreover / furthermore / in addition,,Conj,Level 4
病毒,病毒,ㄅㄧㄥˋ ㄉㄨˊ,bìng dú,virus,,N,Level 4
病房,病房,ㄅㄧㄥˋ ㄈㄤˊ,bìng fáng,ward (of a hospital) / sickroom,間|间,N,Level 4
撥,拨,ㄅㄛ,bō,"to push aside with the hand, foot, a stick etc / to dial / to allocate / to set aside (money) / to poke (the fire) / to pluck (a string instrument) / to turn round / classifier: group, batch",,V,Level 4
菠菜,菠菜,ㄅㄛ ㄘㄞˋ,bō cài,spinach,棵|棵,N,Level 4
波動,波动,ㄅㄛ ㄉㄨㄥˋ,bō dòng,to undulate / to fluctuate / wave motion / rise and fall,,Vi,Level 4
玻璃,玻璃,ㄅㄛ ㄌㄧˊ,bō lí,glass / (slang) male homosexual,張|张 / 塊|块,N,Level 4
薄,薄,ㄅㄛˊ,bó,see 薄荷[bo4 he5],,Vs,Level 4
薄弱,薄弱,ㄅㄛˊ ㄖㄨㄛˋ,bó ruò,weak / frail,,Vs,Level 4
伯父,伯父,ㄅㄛˊ ㄈㄨˋ,bó fù,father's elder brother / term of respect for older man,個|个,N,Level 4
伯母,伯母,ㄅㄛˊ ㄇㄨˇ,bó mǔ,wife of father's elder brother / aunt / (polite form of address for a woman who is about the age of one's mother),個|个,N,Level 4
捕,捕,ㄅㄨˇ,bǔ,to catch / to seize / to capture,,V,Level 4
補,补,ㄅㄨˇ,bǔ,to repair / to patch / to mend / to make up for / to fill (a vacancy) / to supplement,,V,Level 4
補償,补偿,ㄅㄨˇ ㄔㄤˊ,bǔ cháng,to compensate / to make up,,V,Level 4
補充,补充,ㄅㄨˇ ㄔㄨㄥ,bǔ chōng,to replenish / to supplement / to complement / additional / supplementary,個|个,V,Level 4
補課,补课,ㄅㄨˇ ㄎㄜˋ,bǔ kè,to make up missed lesson / to reschedule a class,,V-sep,Level 4
補習,补习,ㄅㄨˇ ㄒㄧˊ,bǔ xí,to take extra lessons in a cram school or with a private tutor,,V-sep,Level 4
補助,补助,ㄅㄨˇ ㄓㄨˋ,bǔ zhù,to subsidize / subsidy / allowance,,N,Level 4
補助,补助,ㄅㄨˇ ㄓㄨˋ,bǔ zhù,to subsidize / subsidy / allowance,,V,Level 4
步,步,ㄅㄨˋ,bù,a step / a pace / walk / march / stages in a process / situation,,M,Level 4
不大,不大,ㄅㄨˋ ㄉㄚˋ,bù dà,not very / not too / not often,,Adv,Level 4
不安,不安,ㄅㄨˋ ㄢ,bù ān,unpeaceful / unstable / uneasy / disturbed / restless / worried,,Vs,Level 4
不成,不成,ㄅㄨˋ ㄔㄥˊ,bù chéng,won't do / unable to / (at the end of a rhetorical question) can that be?,,Vs-pred,Level 4
不當,不当,ㄅㄨˋ ㄉㄤˋ,bù dàng,unsuitable / improper / inappropriate,,Vs,Level 4
不到,不到,ㄅㄨˋ ㄉㄠˋ,bù dào,not to arrive / not reaching / insufficient / less than,,Vst,Level 4
不得已,不得已,ㄅㄨˋ ㄉㄜˊ ㄧˇ,bù dé yǐ,to act against one's will / to have no alternative but to / to have to / to have no choice / must,,Vs,Level 4
不敢當,不敢当,ㄅㄨˋ ㄍㄢˇ ㄉㄤ,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise / you flatter me,,Vs,Level 4
不顧,不顾,ㄅㄨˋ ㄍㄨˋ,bù gù,in spite of / regardless of,,Vst,Level 4
不過,不过,ㄅㄨˋ ㄍㄨㄛˋ,bù guò,only / merely / no more than / but / however / anyway (to get back to a previous topic) / cannot be more (after adjectival),,Adv,Level 4
不見得,不见得,ㄅㄨˋ ㄐㄧㄢˋ ㄉㄜ˙,bù jiàn de,not necessarily / not likely,,Adv,Level 4
不僅,不仅,ㄅㄨˋ ㄐㄧㄣˇ,bù jǐn,not only (this one) / not just (...) but also,,Conj,Level 4
不良,不良,ㄅㄨˋ ㄌㄧㄤˊ,bù liáng,bad / harmful / unhealthy,,Vs,Level 4
不平,不平,ㄅㄨˋ ㄆㄧㄥˊ,bù píng,uneven / injustice / unfairness / wrong / grievance / indignant / dissatisfied,,Vs,Level 4
不然,不然,ㄅㄨˋ ㄖㄢˊ,bù rán,not so / no / or else / otherwise / if not / How about ...?,,Conj,Level 4
不如,不如,ㄅㄨˋ ㄖㄨˊ,bù rú,not equal to / not as good as / inferior to / it would be better to,,Vst,Level 4
